name,cn1,cn2,an1,train_accuracy,test_accuracy,nonzero_parameters,num_parameters,effective_model_size_mb,sparsity_adjusted_flops
cn1_0.8_cn2_0.3_an1_0.5,0.8,0.3,0.5,14.23,17.89,540524,1070986.0,2.06,6915438.37
cn1_0.8_cn2_0.3_an1_0.7,0.8,0.3,0.7,13.94,17.89,331628,1070986.0,1.27,4242832.88
cn1_0.8_cn2_0.3_an1_0.75,0.8,0.3,0.75,13.86,17.26,278380,1070986.0,1.06,3561580.49
cn1_0.8_cn2_0.3_an1_0.8,0.8,0.3,0.8,12.66,16.94,225132,1070986.0,0.86,2880328.11
cn1_0.8_cn2_0.3_an1_0.85,0.8,0.3,0.85,12.75,17.09,171884,1070986.0,0.66,2199075.73
cn1_0.8_cn2_0.3_an1_0.9,0.8,0.3,0.9,12.47,14.01,122732,1070986.0,0.47,1570227.38
cn1_0.8_cn2_0.5_an1_0,0.8,0.5,0.0,13.57,14.28,1061068,1070986.0,4.05,13575253.58
cn1_0.8_cn2_0.5_an1_0.3,0.8,0.5,0.3,13.61,14.28,745676,1070986.0,2.85,9540143.32
cn1_0.8_cn2_0.5_an1_0.5,0.8,0.5,0.5,13.57,14.28,536780,1070986.0,2.05,6867537.82
cn1_0.8_cn2_0.5_an1_0.7,0.8,0.5,0.7,13.58,14.28,327884,1070986.0,1.25,4194932.32
cn1_0.8_cn2_0.5_an1_0.75,0.8,0.5,0.75,13.05,13.62,274636,1070986.0,1.05,3513679.94
cn1_0.8_cn2_0.5_an1_0.8,0.8,0.5,0.8,13.14,16.01,221388,1070986.0,0.85,2832427.55
cn1_0.8_cn2_0.5_an1_0.85,0.8,0.5,0.85,14.37,15.65,168140,1070986.0,0.64,2151175.17
cn1_0.8_cn2_0.5_an1_0.9,0.8,0.5,0.9,15.22,16.18,118988,1070986.0,0.45,1522326.82
cn1_0.8_cn2_0.7_an1_0,0.8,0.7,0.0,15.48,16.82,1057324,1070986.0,4.03,13527353.02
cn1_0.8_cn2_0.7_an1_0.3,0.8,0.7,0.3,15.29,16.82,741932,1070986.0,2.83,9492242.76
cn1_0.8_cn2_0.7_an1_0.5,0.8,0.7,0.5,15.36,16.82,533036,1070986.0,2.03,6819637.26
cn1_0.8_cn2_0.7_an1_0.7,0.8,0.7,0.7,15.25,16.82,324140,1070986.0,1.24,4147031.76
cn1_0.8_cn2_0.7_an1_0.75,0.8,0.7,0.75,15.33,16.69,270892,1070986.0,1.03,3465779.38
cn1_0.8_cn2_0.7_an1_0.8,0.8,0.7,0.8,13.95,14.54,217644,1070986.0,0.83,2784527.0
cn1_0.8_cn2_0.7_an1_0.85,0.8,0.7,0.85,13.83,15.25,164396,1070986.0,0.63,2103274.61
cn1_0.8_cn2_0.7_an1_0.9,0.8,0.7,0.9,12.21,12.61,115244,1070986.0,0.44,1474426.26
cn1_0.8_cn2_0.75_an1_0,0.8,0.75,0.0,12.8,14.18,1056460,1070986.0,4.03,13516299.05
cn1_0.8_cn2_0.75_an1_0.3,0.8,0.75,0.3,12.8,14.18,741068,1070986.0,2.83,9481188.78
cn1_0.8_cn2_0.75_an1_0.5,0.8,0.75,0.5,12.87,14.18,532172,1070986.0,2.03,6808583.28
cn1_0.8_cn2_0.75_an1_0.7,0.8,0.75,0.7,12.83,14.18,323276,1070986.0,1.23,4135977.78
cn1_0.8_cn2_0.75_an1_0.75,0.8,0.75,0.75,12.65,14.49,270028,1070986.0,1.03,3454725.4
cn1_0.8_cn2_0.75_an1_0.8,0.8,0.75,0.8,12.01,12.07,216780,1070986.0,0.83,2773473.02
cn1_0.8_cn2_0.75_an1_0.85,0.8,0.75,0.85,12.74,13.39,163532,1070986.0,0.62,2092220.64
cn1_0.8_cn2_0.75_an1_0.9,0.8,0.75,0.9,10.86,10.23,114380,1070986.0,0.44,1463372.29
cn1_0.8_cn2_0.8_an1_0,0.8,0.8,0.0,12.77,13.64,1055596,1070986.0,4.03,13505245.07
cn1_0.8_cn2_0.8_an1_0.3,0.8,0.8,0.3,12.73,13.64,740204,1070986.0,2.82,9470134.81
cn1_0.8_cn2_0.8_an1_0.5,0.8,0.8,0.5,12.86,13.64,531308,1070986.0,2.03,6797529.31
cn1_0.8_cn2_0.8_an1_0.7,0.8,0.8,0.7,12.74,13.64,322412,1070986.0,1.23,4124923.81
cn1_0.8_cn2_0.8_an1_0.75,0.8,0.8,0.75,12.93,13.73,269164,1070986.0,1.03,3443671.43
cn1_0.8_cn2_0.8_an1_0.8,0.8,0.8,0.8,11.48,11.51,215916,1070986.0,0.82,2762419.05
cn1_0.8_cn2_0.8_an1_0.85,0.8,0.8,0.85,13.29,13.09,162668,1070986.0,0.62,2081166.66
cn1_0.8_cn2_0.8_an1_0.9,0.8,0.8,0.9,10.34,10.17,113516,1070986.0,0.43,1452318.31
cn1_0.8_cn2_0.85_an1_0,0.8,0.85,0.0,13.53,13.0,1054732,1070986.0,4.02,13494191.1
cn1_0.8_cn2_0.85_an1_0.3,0.8,0.85,0.3,13.25,13.0,739340,1070986.0,2.82,9459080.83
cn1_0.8_cn2_0.85_an1_0.5,0.8,0.85,0.5,13.48,13.0,530444,1070986.0,2.02,6786475.33
cn1_0.8_cn2_0.85_an1_0.7,0.8,0.85,0.7,13.51,13.0,321548,1070986.0,1.23,4113869.83
cn1_0.8_cn2_0.85_an1_0.75,0.8,0.85,0.75,13.42,13.09,268300,1070986.0,1.02,3432617.45
cn1_0.8_cn2_0.85_an1_0.8,0.8,0.85,0.8,11.26,10.76,215052,1070986.0,0.82,2751365.07
cn1_0.8_cn2_0.85_an1_0.85,0.8,0.85,0.85,13.15,12.01,161804,1070986.0,0.62,2070112.69
cn1_0.8_cn2_0.85_an1_0.9,0.8,0.85,0.9,10.47,10.04,112652,1070986.0,0.43,1441264.34
cn1_0.8_cn2_0.9_an1_0,0.8,0.9,0.0,10.84,10.91,1053580,1070986.0,4.02,13479452.46
cn1_0.8_cn2_0.9_an1_0.3,0.8,0.9,0.3,10.97,10.91,738188,1070986.0,2.82,9444342.2
cn1_0.8_cn2_0.9_an1_0.5,0.8,0.9,0.5,10.84,10.91,529292,1070986.0,2.02,6771736.7
cn1_0.8_cn2_0.9_an1_0.7,0.8,0.9,0.7,10.84,10.91,320396,1070986.0,1.22,4099131.2
cn1_0.8_cn2_0.9_an1_0.75,0.8,0.9,0.75,10.89,10.9,267148,1070986.0,1.02,3417878.82
cn1_0.8_cn2_0.9_an1_0.8,0.8,0.9,0.8,11.36,10.76,213900,1070986.0,0.82,2736626.44
cn1_0.8_cn2_0.9_an1_0.85,0.8,0.9,0.85,10.34,9.8,160652,1070986.0,0.61,2055374.06
cn1_0.8_cn2_0.9_an1_0.9,0.8,0.9,0.9,10.49,10.23,111500,1070986.0,0.43,1426525.7
cn1_0.85_cn2_0_an1_0,0.85,0.0,0.0,16.52,21.94,1070257,1070986.0,4.08,13692817.21
cn1_0.85_cn2_0_an1_0.3,0.85,0.0,0.3,16.54,21.94,754865,1070986.0,2.88,9657706.95
cn1_0.85_cn2_0_an1_0.5,0.85,0.0,0.5,16.54,21.94,545969,1070986.0,2.08,6985101.45
cn1_0.85_cn2_0_an1_0.7,0.85,0.0,0.7,16.67,21.94,337073,1070986.0,1.29,4312495.95
cn1_0.85_cn2_0_an1_0.75,0.85,0.0,0.75,15.83,20.83,283825,1070986.0,1.08,3631243.57
cn1_0.85_cn2_0_an1_0.8,0.85,0.0,0.8,12.12,14.09,230577,1070986.0,0.88,2949991.18
cn1_0.85_cn2_0_an1_0.85,0.85,0.0,0.85,11.81,13.31,177329,1070986.0,0.68,2268738.8
cn1_0.85_cn2_0_an1_0.9,0.85,0.0,0.9,12.19,14.2,128177,1070986.0,0.49,1639890.45
cn1_0.85_cn2_0.3_an1_0,0.85,0.3,0.0,10.09,11.06,1064785,1070986.0,4.06,13622808.7
cn1_0.85_cn2_0.3_an1_0.3,0.85,0.3,0.3,10.09,11.06,749393,1070986.0,2.86,9587698.44
cn1_0.85_cn2_0.3_an1_0.5,0.85,0.3,0.5,10.07,11.06,540497,1070986.0,2.06,6915092.94
cn1_0.85_cn2_0.3_an1_0.7,0.85,0.3,0.7,10.08,11.06,331601,1070986.0,1.27,4242487.44
cn1_0.85_cn2_0.3_an1_0.75,0.85,0.3,0.75,10.11,11.11,278353,1070986.0,1.06,3561235.06
cn1_0.85_cn2_0.3_an1_0.8,0.85,0.3,0.8,10.06,10.57,225105,1070986.0,0.86,2879982.67
cn1_0.85_cn2_0.3_an1_0.85,0.85,0.3,0.85,10.17,11.37,171857,1070986.0,0.66,2198730.29
cn1_0.85_cn2_0.3_an1_0.9,0.85,0.3,0.9,10.03,10.47,122705,1070986.0,0.47,1569881.94
cn1_0.85_cn2_0.5_an1_0,0.85,0.5,0.0,10.13,10.92,1061041,1070986.0,4.05,13574908.14
cn1_0.85_cn2_0.5_an1_0.3,0.85,0.5,0.3,10.14,10.92,745649,1070986.0,2.85,9539797.88
cn1_0.85_cn2_0.5_an1_0.5,0.85,0.5,0.5,10.16,10.92,536753,1070986.0,2.05,6867192.38
cn1_0.85_cn2_0.5_an1_0.7,0.85,0.5,0.7,10.06,10.92,327857,1070986.0,1.25,4194586.88
cn1_0.85_cn2_0.5_an1_0.75,0.85,0.5,0.75,10.53,11.46,274609,1070986.0,1.05,3513334.5
cn1_0.85_cn2_0.5_an1_0.8,0.85,0.5,0.8,10.04,10.08,221361,1070986.0,0.85,2832082.12
cn1_0.85_cn2_0.5_an1_0.85,0.85,0.5,0.85,10.18,11.01,168113,1070986.0,0.64,2150829.73
cn1_0.85_cn2_0.5_an1_0.9,0.85,0.5,0.9,9.85,9.76,118961,1070986.0,0.45,1521981.38
cn1_0.85_cn2_0.7_an1_0,0.85,0.7,0.0,10.61,13.1,1057297,1070986.0,4.03,13527007.58
cn1_0.85_cn2_0.7_an1_0.3,0.85,0.7,0.3,10.59,13.1,741905,1070986.0,2.83,9491897.32
cn1_0.85_cn2_0.7_an1_0.5,0.85,0.7,0.5,10.68,13.1,533009,1070986.0,2.03,6819291.82
cn1_0.85_cn2_0.7_an1_0.7,0.85,0.7,0.7,10.67,13.11,324113,1070986.0,1.24,4146686.32
cn1_0.85_cn2_0.7_an1_0.75,0.85,0.7,0.75,10.61,13.12,270865,1070986.0,1.03,3465433.94
cn1_0.85_cn2_0.7_an1_0.8,0.85,0.7,0.8,10.53,9.96,217617,1070986.0,0.83,2784181.56
cn1_0.85_cn2_0.7_an1_0.85,0.85,0.7,0.85,11.06,12.15,164369,1070986.0,0.63,2102929.18
cn1_0.85_cn2_0.7_an1_0.9,0.85,0.7,0.9,10.0,10.5,115217,1070986.0,0.44,1474080.82
cn1_0.85_cn2_0.75_an1_0,0.85,0.75,0.0,10.65,12.59,1056433,1070986.0,4.03,13515953.61
cn1_0.85_cn2_0.75_an1_0.3,0.85,0.75,0.3,10.84,12.59,741041,1070986.0,2.83,9480843.35
cn1_0.85_cn2_0.75_an1_0.5,0.85,0.75,0.5,10.62,12.59,532145,1070986.0,2.03,6808237.85
cn1_0.85_cn2_0.75_an1_0.7,0.85,0.75,0.7,10.85,12.59,323249,1070986.0,1.23,4135632.35
cn1_0.85_cn2_0.75_an1_0.75,0.85,0.75,0.75,10.63,13.09,270001,1070986.0,1.03,3454379.97
cn1_0.85_cn2_0.75_an1_0.8,0.85,0.75,0.8,10.13,9.52,216753,1070986.0,0.83,2773127.58
cn1_0.85_cn2_0.75_an1_0.85,0.85,0.75,0.85,10.59,10.18,163505,1070986.0,0.62,2091875.2
cn1_0.85_cn2_0.75_an1_0.9,0.85,0.75,0.9,9.57,9.56,114353,1070986.0,0.44,1463026.85
cn1_0.85_cn2_0.8_an1_0,0.85,0.8,0.0,12.28,14.27,1055569,1070986.0,4.03,13504899.63
cn1_0.85_cn2_0.8_an1_0.3,0.85,0.8,0.3,12.25,14.27,740177,1070986.0,2.82,9469789.37
cn1_0.85_cn2_0.8_an1_0.5,0.85,0.8,0.5,12.34,14.27,531281,1070986.0,2.03,6797183.87
cn1_0.85_cn2_0.8_an1_0.7,0.85,0.8,0.7,12.24,14.27,322385,1070986.0,1.23,4124578.37
cn1_0.85_cn2_0.8_an1_0.75,0.85,0.8,0.75,12.24,14.48,269137,1070986.0,1.03,3443325.99
cn1_0.85_cn2_0.8_an1_0.8,0.85,0.8,0.8,10.05,9.94,215889,1070986.0,0.82,2762073.61
cn1_0.85_cn2_0.8_an1_0.85,0.85,0.8,0.85,11.01,10.88,162641,1070986.0,0.62,2080821.23
cn1_0.85_cn2_0.8_an1_0.9,0.85,0.8,0.9,9.22,8.55,113489,1070986.0,0.43,1451972.87
cn1_0.85_cn2_0.85_an1_0,0.85,0.85,0.0,11.86,12.97,1054705,1070986.0,4.02,13493845.66
cn1_0.85_cn2_0.85_an1_0.3,0.85,0.85,0.3,11.77,12.97,739313,1070986.0,2.82,9458735.4
cn1_0.85_cn2_0.85_an1_0.5,0.85,0.85,0.5,11.75,12.97,530417,1070986.0,2.02,6786129.9
cn1_0.85_cn2_0.85_an1_0.7,0.85,0.85,0.7,11.72,12.97,321521,1070986.0,1.23,4113524.4
cn1_0.85_cn2_0.85_an1_0.75,0.85,0.85,0.75,11.78,13.06,268273,1070986.0,1.02,3432272.02
cn1_0.85_cn2_0.85_an1_0.8,0.85,0.85,0.8,10.16,10.01,215025,1070986.0,0.82,2751019.63
cn1_0.85_cn2_0.85_an1_0.85,0.85,0.85,0.85,11.09,10.42,161777,1070986.0,0.62,2069767.25
cn1_0.85_cn2_0.85_an1_0.9,0.85,0.85,0.9,9.11,8.44,112625,1070986.0,0.43,1440918.9
cn1_0.85_cn2_0.9_an1_0,0.85,0.9,0.0,10.47,10.43,1053553,1070986.0,4.02,13479107.03
cn1_0.85_cn2_0.9_an1_0.3,0.85,0.9,0.3,10.4,10.43,738161,1070986.0,2.82,9443996.76
cn1_0.85_cn2_0.9_an1_0.5,0.85,0.9,0.5,10.47,10.43,529265,1070986.0,2.02,6771391.26
cn1_0.85_cn2_0.9_an1_0.7,0.85,0.9,0.7,10.5,10.43,320369,1070986.0,1.22,4098785.76
cn1_0.85_cn2_0.9_an1_0.75,0.85,0.9,0.75,10.43,10.52,267121,1070986.0,1.02,3417533.38
cn1_0.85_cn2_0.9_an1_0.8,0.85,0.9,0.8,12.07,11.86,213873,1070986.0,0.82,2736281.0
cn1_0.85_cn2_0.9_an1_0.85,0.85,0.9,0.85,10.23,10.0,160625,1070986.0,0.61,2055028.62
cn1_0.85_cn2_0.9_an1_0.9,0.85,0.9,0.9,9.24,8.71,111473,1070986.0,0.43,1426180.27
cn1_0.9_cn2_0_an1_0,0.9,0.0,0.0,11.1,12.59,1070203,1070986.0,4.08,13692126.34
cn1_0.9_cn2_0_an1_0.3,0.9,0.0,0.3,11.06,12.59,754811,1070986.0,2.88,9657016.07
cn1_0.9_cn2_0_an1_0.5,0.9,0.0,0.5,11.09,12.59,545915,1070986.0,2.08,6984410.57
cn1_0.9_cn2_0_an1_0.7,0.9,0.0,0.7,11.07,12.59,337019,1070986.0,1.29,4311805.07
cn1_0.9_cn2_0_an1_0.75,0.9,0.0,0.75,10.93,12.31,283771,1070986.0,1.08,3630552.69
cn1_0.9_cn2_0_an1_0.8,0.9,0.0,0.8,10.8,11.92,230523,1070986.0,0.88,2949300.31
cn1_0.9_cn2_0_an1_0.85,0.9,0.0,0.85,12.0,12.72,177275,1070986.0,0.68,2268047.93
cn1_0.9_cn2_0_an1_0.9,0.9,0.0,0.9,12.75,13.24,128123,1070986.0,0.49,1639199.57
cn1_0.9_cn2_0.3_an1_0,0.9,0.3,0.0,10.24,10.85,1064731,1070986.0,4.06,13622117.83
cn1_0.9_cn2_0.3_an1_0.3,0.9,0.3,0.3,10.34,10.85,749339,1070986.0,2.86,9587007.56
cn1_0.9_cn2_0.3_an1_0.5,0.9,0.3,0.5,10.24,10.85,540443,1070986.0,2.06,6914402.06
cn1_0.9_cn2_0.3_an1_0.7,0.9,0.3,0.7,10.18,10.85,331547,1070986.0,1.27,4241796.57
cn1_0.9_cn2_0.3_an1_0.75,0.9,0.3,0.75,10.32,10.86,278299,1070986.0,1.06,3560544.18
cn1_0.9_cn2_0.3_an1_0.8,0.9,0.3,0.8,11.14,10.48,225051,1070986.0,0.86,2879291.8
cn1_0.9_cn2_0.3_an1_0.85,0.9,0.3,0.85,12.11,12.07,171803,1070986.0,0.66,2198039.42
cn1_0.9_cn2_0.3_an1_0.9,0.9,0.3,0.9,10.15,11.01,122651,1070986.0,0.47,1569191.07
cn1_0.9_cn2_0.5_an1_0,0.9,0.5,0.0,10.05,10.67,1060987,1070986.0,4.05,13574217.27
cn1_0.9_cn2_0.5_an1_0.3,0.9,0.5,0.3,10.01,10.67,745595,1070986.0,2.84,9539107.01
cn1_0.9_cn2_0.5_an1_0.5,0.9,0.5,0.5,10.05,10.67,536699,1070986.0,2.05,6866501.51
cn1_0.9_cn2_0.5_an1_0.7,0.9,0.5,0.7,10.05,10.67,327803,1070986.0,1.25,4193896.01
cn1_0.9_cn2_0.5_an1_0.75,0.9,0.5,0.75,10.08,10.88,274555,1070986.0,1.05,3512643.63
cn1_0.9_cn2_0.5_an1_0.8,0.9,0.5,0.8,9.42,10.61,221307,1070986.0,0.84,2831391.24
cn1_0.9_cn2_0.5_an1_0.85,0.9,0.5,0.85,11.65,12.3,168059,1070986.0,0.64,2150138.86
cn1_0.9_cn2_0.5_an1_0.9,0.9,0.5,0.9,8.57,8.8,118907,1070986.0,0.45,1521290.51
cn1_0.9_cn2_0.7_an1_0,0.9,0.7,0.0,10.49,10.46,1057243,1070986.0,4.03,13526316.71
cn1_0.9_cn2_0.7_an1_0.3,0.9,0.7,0.3,10.5,10.46,741851,1070986.0,2.83,9491206.45
cn1_0.9_cn2_0.7_an1_0.5,0.9,0.7,0.5,10.52,10.46,532955,1070986.0,2.03,6818600.95
cn1_0.9_cn2_0.7_an1_0.7,0.9,0.7,0.7,10.54,10.46,324059,1070986.0,1.24,4145995.45
cn1_0.9_cn2_0.7_an1_0.75,0.9,0.7,0.75,10.48,10.51,270811,1070986.0,1.03,3464743.07
cn1_0.9_cn2_0.7_an1_0.8,0.9,0.7,0.8,11.09,11.21,217563,1070986.0,0.83,2783490.69
cn1_0.9_cn2_0.7_an1_0.85,0.9,0.7,0.85,10.58,9.92,164315,1070986.0,0.63,2102238.3
cn1_0.9_cn2_0.7_an1_0.9,0.9,0.7,0.9,10.31,10.62,115163,1070986.0,0.44,1473389.95
cn1_0.9_cn2_0.75_an1_0,0.9,0.75,0.0,10.68,10.7,1056379,1070986.0,4.03,13515262.74
cn1_0.9_cn2_0.75_an1_0.3,0.9,0.75,0.3,10.75,10.7,740987,1070986.0,2.83,9480152.47
cn1_0.9_cn2_0.75_an1_0.5,0.9,0.75,0.5,10.75,10.7,532091,1070986.0,2.03,6807546.97
cn1_0.9_cn2_0.75_an1_0.7,0.9,0.75,0.7,10.55,10.7,323195,1070986.0,1.23,4134941.47
cn1_0.9_cn2_0.75_an1_0.75,0.9,0.75,0.75,10.77,10.75,269947,1070986.0,1.03,3453689.09
cn1_0.9_cn2_0.75_an1_0.8,0.9,0.75,0.8,11.06,10.93,216699,1070986.0,0.83,2772436.71
cn1_0.9_cn2_0.75_an1_0.85,0.9,0.75,0.85,10.2,9.77,163451,1070986.0,0.62,2091184.33
cn1_0.9_cn2_0.75_an1_0.9,0.9,0.75,0.9,10.82,10.87,114299,1070986.0,0.44,1462335.98
cn1_0.9_cn2_0.8_an1_0,0.9,0.8,0.0,11.15,11.56,1055515,1070986.0,4.03,13504208.76
cn1_0.9_cn2_0.8_an1_0.3,0.9,0.8,0.3,11.16,11.56,740123,1070986.0,2.82,9469098.5
cn1_0.9_cn2_0.8_an1_0.5,0.9,0.8,0.5,11.29,11.56,531227,1070986.0,2.03,6796493.0
cn1_0.9_cn2_0.8_an1_0.7,0.9,0.8,0.7,11.24,11.56,322331,1070986.0,1.23,4123887.5
cn1_0.9_cn2_0.8_an1_0.75,0.9,0.8,0.75,11.21,11.62,269083,1070986.0,1.03,3442635.12
cn1_0.9_cn2_0.8_an1_0.8,0.9,0.8,0.8,11.52,11.2,215835,1070986.0,0.82,2761382.74
cn1_0.9_cn2_0.8_an1_0.85,0.9,0.8,0.85,10.31,9.81,162587,1070986.0,0.62,2080130.35
cn1_0.9_cn2_0.8_an1_0.9,0.9,0.8,0.9,10.41,9.65,113435,1070986.0,0.43,1451282.0
cn1_0.9_cn2_0.85_an1_0,0.9,0.85,0.0,11.83,12.28,1054651,1070986.0,4.02,13493154.79
cn1_0.9_cn2_0.85_an1_0.3,0.9,0.85,0.3,11.88,12.28,739259,1070986.0,2.82,9458044.52
cn1_0.9_cn2_0.85_an1_0.5,0.9,0.85,0.5,11.9,12.28,530363,1070986.0,2.02,6785439.02
cn1_0.9_cn2_0.85_an1_0.7,0.9,0.85,0.7,11.88,12.28,321467,1070986.0,1.23,4112833.52
cn1_0.9_cn2_0.85_an1_0.75,0.9,0.85,0.75,11.84,12.29,268219,1070986.0,1.02,3431581.14
cn1_0.9_cn2_0.85_an1_0.8,0.9,0.85,0.8,10.32,10.18,214971,1070986.0,0.82,2750328.76
cn1_0.9_cn2_0.85_an1_0.85,0.9,0.85,0.85,10.31,9.89,161723,1070986.0,0.62,2069076.38
cn1_0.9_cn2_0.85_an1_0.9,0.9,0.85,0.9,11.38,10.9,112571,1070986.0,0.43,1440228.03
cn1_0.9_cn2_0.9_an1_0,0.9,0.9,0.0,11.39,11.5,1053499,1070986.0,4.02,13478416.15
cn1_0.9_cn2_0.9_an1_0.3,0.9,0.9,0.3,11.4,11.5,738107,1070986.0,2.82,9443305.89
cn1_0.9_cn2_0.9_an1_0.5,0.9,0.9,0.5,11.42,11.5,529211,1070986.0,2.02,6770700.39
cn1_0.9_cn2_0.9_an1_0.7,0.9,0.9,0.7,11.32,11.5,320315,1070986.0,1.22,4098094.89
cn1_0.9_cn2_0.9_an1_0.75,0.9,0.9,0.75,11.33,11.48,267067,1070986.0,1.02,3416842.51
cn1_0.9_cn2_0.9_an1_0.8,0.9,0.9,0.8,10.38,10.28,213819,1070986.0,0.82,2735590.13
cn1_0.9_cn2_0.9_an1_0.85,0.9,0.9,0.85,9.98,9.89,160571,1070986.0,0.61,2054337.75
cn1_0.9_cn2_0.9_an1_0.9,0.9,0.9,0.9,9.45,9.53,111419,1070986.0,0.43,1425489.39
